h,||u-uh||_L2,||u-uh||_H1,|u|_H2,E_L2_norm,E_H1_norm
4.000000000000000083e-02,3.543700829022446847e-02,2.308076380373715042e-01,1.803498374058444043e+01,1.964903811389635217e-03,1.279777355817521625e-02
3.333333333333333287e-02,2.983267323074536778e-02,1.963634994692486369e-01,1.813154482639460596e+01,1.645346467517599292e-03,1.082993762249075988e-02
2.857142857142857054e-02,2.578480095513865922e-02,1.707574158357845484e-01,1.820907290581989102e+01,1.416041392579490011e-03,9.377600755346963621e-03
2.500000000000000139e-02,2.271710022521088515e-02,1.510093727542640984e-01,1.828328229154749707e+01,1.242506671557173144e-03,8.259423573199265942e-03
2.222222222222222307e-02,2.031702769439019951e-02,1.353441862540371854e-01,1.836264927809522618e+01,1.106432268388763979e-03,7.370624151466479215e-03
2.000000000000000042e-02,1.838583466368016658e-02,1.226202967042443887e-01,1.845244287648771575e+01,9.963902767100598062e-04,6.645206682118408488e-03
1.818181818181818094e-02,1.679650360149149979e-02,1.120824672914442627e-01,1.855633338896575424e+01,9.051628492231816219e-04,6.040119291998300582e-03
1.666666666666666644e-02,1.546867752616239503e-02,1.032200123737807285e-01,1.867710471700398855e+01,8.282160302972129805e-04,5.526553175011503574e-03
1.538461538461538547e-02,1.434143137440986419e-02,9.566240086503000062e-02,1.881699486170370150e+01,7.621531216760604006e-04,5.083829887190003533e-03
1.428571428571428527e-02,1.337366405593890840e-02,8.914438575992651714e-02,1.897786805041852176e+01,7.046979155092173786e-04,4.697281355476628367e-03
