iteration,N_bins,IL,abs_err
0,100,-5.9746307616758605,9.116223415265654
1,299,3.055995502232163,0.08559715135762991
2,832,3.1069621088037964,0.0346305447859967
3,2102,3.125663593648749,0.015929059941043988
4,5277,3.1340711091014684,0.007521544488324761
5,8832,3.138537739910922,0.0030549136788708964
6,18457,3.140176385675472,0.0014162679143212564
7,31355,3.1419542931788325,0.000361639589039342
8,58841,3.1428539683086236,0.0012613147188305085
9,117552,3.1437144481361443,0.0021217945463511967
10,215691,3.1440260560030033,0.0024334024132102172
